City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapaa,22.0752,-159.319,26.18,81,20,1.54,US,1673929450
1,bucerias,20.75,-105.3333,18.99,82,0,1.03,MX,1673929451
2,bengkulu,-3.8004,102.2655,28.33,67,66,2.68,ID,1673929452
3,ratnagiri,16.9833,73.3,23.16,61,4,1.9,IN,1673929454
4,margate,51.3813,1.3862,-2.05,66,98,2.58,GB,1673929455
5,vaini,-21.2,-175.2,29.09,79,75,3.09,TO,1673929456
6,tuktoyaktuk,69.4541,-133.0374,-20.0,84,100,3.6,CA,1673929458
7,bluff,-46.6,168.3333,14.61,81,81,6.2,NZ,1673929195
8,honiara,-9.4333,159.95,29.86,68,93,2.81,SB,1673929462
9,ballina,-28.8667,153.5667,28.34,68,2,4.75,AU,1673929464
10,east london,-33.0153,27.9116,23.52,100,75,1.54,ZA,1673929465
11,chapais,49.7834,-74.8492,-19.12,97,23,1.18,CA,1673929466
12,hobart,-42.8794,147.3294,29.47,52,75,7.2,AU,1673929299
13,barrow,71.2906,-156.7887,-26.99,83,100,8.75,US,1673929469
14,tessalit,20.1986,1.0114,16.11,22,4,3.62,ML,1673929470
15,busselton,-33.65,115.3333,22.49,29,0,2.29,AU,1673929472
16,arraial do cabo,-22.9661,-42.0278,23.1,92,2,9.19,BR,1673929474
17,aginskoye,51.1,114.53,-17.12,72,45,5.47,RU,1673929475
18,punta arenas,-53.15,-70.9167,7.06,61,0,5.14,CL,1673929476
19,hermanus,-34.4187,19.2345,22.11,87,98,6.39,ZA,1673929477
20,avarua,-21.2078,-159.775,27.03,65,15,2.06,CK,1673929480
21,abu kamal,34.4506,40.9171,9.1,76,65,1.51,SY,1673929481
22,san antonio,29.4241,-98.4936,18.05,77,0,1.54,US,1673928821
23,florida,28.7505,-82.5001,2.99,69,16,1.14,US,1673929483
24,port elizabeth,-33.918,25.5701,22.4,97,100,4.12,ZA,1673929484
25,rypefjord,70.6333,23.6667,0.26,100,100,4.63,NO,1673929486
26,mataura,-46.1927,168.8643,18.18,63,85,3.5,NZ,1673929487
27,san quintin,30.4833,-115.95,13.87,79,99,6.46,MX,1673929488
28,ushuaia,-54.8,-68.3,7.81,61,75,7.72,AR,1673929408
29,nikolskoye,59.7035,30.7861,1.94,90,100,3.14,RU,1673929491
30,miraflores,19.2167,-98.8083,15.36,62,3,1.16,MX,1673929492
31,ulladulla,-35.35,150.4667,26.01,60,0,7.09,AU,1673929493
32,rikitea,-23.1203,-134.9692,25.46,69,2,2.96,PF,1673929494
33,zhigansk,66.7697,123.3711,-49.92,99,71,1.68,RU,1673929496
